plant,parameter,unit,value
heatpump,cop_max,fraction,2.86
heatpump,cop_min,fraction,2.57
heatpump,p_max,MW,76
heatpump,p_min,MW,25.1
heatpump,q_max,MW,217.545454545455
heatpump,q_min,MW,64.6
eboiler,eta_th_min,fraction,0.99
eboiler,eta_th_max,fraction,0.99
eboiler,q_max,MW,129.9
eboiler,q_min,MW,0
eboiler,p_max,MW,128.601
eboiler,p_min,MW,0
ext,pmax_qmax,MW,116
ext,pmax_qmin,MW,124
ext,pmin_qmax,MW,64.3
ext,pmin_qmin,MW,72.4
ext,qmax_pmax,MW,66.4
ext,qmax_pmin,MW,48.9
ext,qmin_pmax,MW,0
ext,qmin_pmin,MW,0
ext,eta_el_pmax_qmin,fraction,0.512
ext,eta_el_pmin_qmin,fraction,0.563
ext,eta_el_pmax_qmax,fraction,0.455
ext,eta_el_pmin_qmax,fraction,0.512
ext,eta_th_qmax_pmax,fraction,0.293
ext,eta_th_qmax_pmin,fraction,0.346
ext,eta_th_qmin_pmax,fraction,0
ext,eta_th_qmin_pmin,fraction,0
bp,pmax_qmax,MW,84.1
bp,pmax_qmin,MW,84.1
bp,pmin_qmax,MW,46.1
bp,pmin_qmin,MW,46.1
bp,qmax_pmax,MW,65
bp,qmax_pmin,MW,42.5
bp,qmin_pmax,MW,30.7
bp,qmin_pmin,MW,22.4
bp,eta_el_pmax_qmin,fraction,0.468
bp,eta_el_pmin_qmin,fraction,0.469
bp,eta_el_pmax_qmax,fraction,0.431
bp,eta_el_pmin_qmax,fraction,0.431
bp,eta_th_qmax_pmax,fraction,0.362
bp,eta_th_qmax_pmin,fraction,0.397
bp,eta_th_qmin_pmax,fraction,0.171
bp,eta_th_qmin_pmin,fraction,0.209
storage,qmax_in,MW,0.69
storage,qmax_out,MW,0.69
storage,pmax,MW,0.19
storage,pmin,MW,0.06
storage,umax,MWH,2500
storage,loss,fraction,0
storage,eta_in,fraction,1
storage,eta_out,fraction,1
storage,cop,fraction,3.68
gas,cost,Euro/Mwh,25
mustrun,pmax_qmax,MW,37.7
mustrun,pmax_qmin,MW,46.8
mustrun,pmin_qmax,MW,37.7
mustrun,pmin_qmin,MW,46.8
mustrun,qmax_pmax,MW,65
mustrun,qmax_pmin,MW,65
mustrun,qmin_pmax,MW,0
mustrun,qmin_pmin,MW,0
mustrun,eta_el_pmax_qmin,fraction,0.281
mustrun,eta_el_pmin_qmin,fraction,0.348
mustrun,eta_el_pmax_qmax,fraction,
mustrun,eta_el_pmin_qmax,fraction,0.348
mustrun,eta_th_qmax_pmax,fraction,0.484
mustrun,eta_th_qmax_pmin,fraction,0.484
mustrun,eta_th_qmin_pmax,fraction,0
mustrun,eta_th_qmin_pmin,fraction,0
